Route_ID,Trip_ID,Stop_ID,Stop_Sequence,Distance_to_Next_Stop_km,Scheduled_Arrival,Actual_Arrival,Scheduled_Departure,Actual_Departure,Attributed_Cause,Root_Cause_Detail
R-101,R-101-T-001,S-01,1,1.6,2024-03-15 06:05:00,2024-03-15 06:05:40,2024-03-15 06:08:50,2024-03-15 06:09:30,On Time,Within tolerance — 0.7m arrival variance
R-101,R-101-T-001,S-02,2,1.0,2024-03-15 06:13:13,2024-03-15 06:13:13,2024-03-15 06:14:35,2024-03-15 06:14:35,On Time,Within tolerance — 0.0m arrival variance
R-101,R-101-T-001,S-03,3,0.6,2024-03-15 06:18:28,2024-03-15 06:18:36,2024-03-15 06:19:19,2024-03-15 06:19:27,On Time,Within tolerance — 0.1m arrival variance
R-101,R-101-T-001,S-04,4,1.3,2024-03-15 06:21:20,2024-03-15 06:22:37,2024-03-15 06:22:37,2024-03-15 06:23:54,On Time,Within tolerance — 1.3m arrival variance
R-101,R-101-T-001,S-05,5,1.7,2024-03-15 06:27:31,2024-03-15 06:28:55,2024-03-15 06:28:52,2024-03-15 06:30:16,On Time,Within tolerance — 1.4m arrival variance
R-101,R-101-T-001,S-06,6,1.1,2024-03-15 06:35:25,2024-03-15 06:39:21,2024-03-15 06:36:26,2024-03-15 06:40:22,On Time,Within tolerance — 3.9m arrival variance
R-101,R-101-T-001,S-07,7,6.3,2024-03-15 06:39:35,2024-03-15 06:41:39,2024-03-15 06:40:31,2024-03-15 06:42:35,Unrealistic Timetable,Schedule physically impossible — requires 110 km/h between S-07 and next stop (urban bus max ~50 km/h)
R-101,R-101-T-001,S-08,8,0.9,2024-03-15 06:43:57,2024-03-15 06:45:44,2024-03-15 06:45:02,2024-03-15 06:46:49,On Time,Within tolerance — 1.8m arrival variance
R-101,R-101-T-001,S-09,9,2.1,2024-03-15 06:48:34,2024-03-15 06:49:42,2024-03-15 06:49:24,2024-03-15 06:50:32,On Time,Within tolerance — 1.1m arrival variance
R-101,R-101-T-001,S-10,10,0.8,2024-03-15 06:57:35,2024-03-15 06:57:59,2024-03-15 06:58:45,2024-03-15 06:59:09,On Time,Within tolerance — 0.4m arrival variance
R-101,R-101-T-001,S-11,11,0.0,2024-03-15 07:01:51,2024-03-15 07:04:04,2024-03-15 07:05:19,2024-03-15 07:07:32,On Time,Within tolerance — 2.2m arrival variance
R-101,R-101-T-002,S-01,1,0.6,2024-03-15 06:21:00,2024-03-15 06:21:00,2024-03-15 06:23:03,2024-03-15 06:30:35,Vehicle Turnaround Delay,Depot dispatch delay on R-101 — 8m late departure from first stop
R-101,R-101-T-002,S-02,2,0.7,2024-03-15 06:24:32,2024-03-15 06:32:41,2024-03-15 06:25:12,2024-03-15 06:33:21,On Time,Within tolerance — 8.2m arrival variance
R-101,R-101-T-002,S-03,3,0.5,2024-03-15 06:27:03,2024-03-15 06:33:21,2024-03-15 06:28:23,2024-03-15 06:34:41,On Time,Within tolerance — 6.3m arrival variance
R-101,R-101-T-002,S-04,4,2.6,2024-03-15 06:30:10,2024-03-15 06:34:41,2024-03-15 06:31:16,2024-03-15 06:35:47,On Time,Within tolerance — 4.5m arrival variance
R-101,R-101-T-002,S-05,5,2.6,2024-03-15 06:40:38,2024-03-15 06:45:21,2024-03-15 06:41:34,2024-03-15 06:46:17,On Time,Within tolerance — 4.7m arrival variance
R-101,R-101-T-002,S-06,6,2.1,2024-03-15 06:49:06,2024-03-15 06:51:33,2024-03-15 06:49:37,2024-03-15 06:52:04,On Time,Within tolerance — 2.5m arrival variance
R-101,R-101-T-002,S-07,7,6.8,2024-03-15 06:57:22,2024-03-15 06:58:04,2024-03-15 06:57:56,2024-03-15 06:58:38,Unrealistic Timetable,Schedule physically impossible — requires 111 km/h between S-07 and next stop (urban bus max ~50 km/h)
R-101,R-101-T-002,S-08,8,0.6,2024-03-15 07:01:36,2024-03-15 07:01:36,2024-03-15 07:02:38,2024-03-15 07:02:38,On Time,Within tolerance — 0.0m arrival variance
R-101,R-101-T-002,S-09,9,2.6,2024-03-15 07:04:24,2024-03-15 07:05:20,2024-03-15 07:05:13,2024-03-15 07:06:09,On Time,Within tolerance — 0.9m arrival variance
R-101,R-101-T-002,S-10,10,1.6,2024-03-15 07:12:23,2024-03-15 07:12:25,2024-03-15 07:13:52,2024-03-15 07:13:54,On Time,Within tolerance — 0.0m arrival variance
R-101,R-101-T-002,S-11,11,0.0,2024-03-15 07:18:23,2024-03-15 07:18:23,2024-03-15 07:21:47,2024-03-15 07:21:47,On Time,Within tolerance — 0.0m arrival variance
R-101,R-101-T-003,S-01,1,2.6,2024-03-15 06:34:00,2024-03-15 06:34:00,2024-03-15 06:37:01,2024-03-15 06:43:15,Vehicle Turnaround Delay,Depot dispatch delay on R-101 — 6m late departure from first stop
R-101,R-101-T-003,S-02,2,2.7,2024-03-15 06:44:32,2024-03-15 06:50:10,2024-03-15 06:45:06,2024-03-15 06:50:44,On Time,Within tolerance — 5.6m arrival variance
R-101,R-101-T-003,S-03,3,2.6,2024-03-15 06:53:36,2024-03-15 06:59:51,2024-03-15 06:54:49,2024-03-15 07:01:04,On Time,Within tolerance — 6.2m arrival variance
R-101,R-101-T-003,S-04,4,2.3,2024-03-15 07:04:56,2024-03-15 07:08:36,2024-03-15 07:06:26,2024-03-15 07:10:06,On Time,Within tolerance — 3.7m arrival variance
R-101,R-101-T-003,S-05,5,1.6,2024-03-15 07:15:33,2024-03-15 07:17:22,2024-03-15 07:16:51,2024-03-15 07:18:40,On Time,Within tolerance — 1.8m arrival variance
R-101,R-101-T-003,S-06,6,2.4,2024-03-15 07:21:28,2024-03-15 07:22:37,2024-03-15 07:22:23,2024-03-15 07:23:32,On Time,Within tolerance — 1.1m arrival variance
R-101,R-101-T-003,S-07,7,4.6,2024-03-15 07:31:49,2024-03-15 07:31:49,2024-03-15 07:32:21,2024-03-15 07:32:21,Unrealistic Timetable,Schedule physically impossible — requires 97 km/h between S-07 and next stop (urban bus max ~50 km/h)
R-101,R-101-T-003,S-08,8,1.2,2024-03-15 07:35:12,2024-03-15 07:35:12,2024-03-15 07:36:12,2024-03-15 07:36:12,On Time,Within tolerance — 0.0m arrival variance
R-101,R-101-T-003,S-09,9,1.7,2024-03-15 07:39:36,2024-03-15 07:39:36,2024-03-15 07:40:34,2024-03-15 07:40:34,On Time,Within tolerance — 0.0m arrival variance
R-101,R-101-T-003,S-10,10,2.4,2024-03-15 07:45:20,2024-03-15 07:46:33,2024-03-15 07:46:27,2024-03-15 07:47:40,On Time,Within tolerance — 1.2m arrival variance
R-101,R-101-T-003,S-11,11,0.0,2024-03-15 07:53:31,2024-03-15 07:53:43,2024-03-15 07:57:00,2024-03-15 07:57:12,On Time,Within tolerance — 0.2m arrival variance
R-101,R-101-T-004,S-01,1,2.8,2024-03-15 06:49:00,2024-03-15 06:49:00,2024-03-15 06:52:30,2024-03-15 06:52:30,On Time,Within tolerance — 0.0m arrival variance
R-101,R-101-T-004,S-02,2,2.6,2024-03-15 07:02:26,2024-03-15 07:02:26,2024-03-15 07:03:38,2024-03-15 07:03:38,On Time,Within tolerance — 0.0m arrival variance
R-101,R-101-T-004,S-03,3,0.6,2024-03-15 07:13:38,2024-03-15 07:14:08,2024-03-15 07:15:07,2024-03-15 07:15:37,On Time,Within tolerance — 0.5m arrival variance
R-101,R-101-T-004,S-04,4,1.6,2024-03-15 07:17:17,2024-03-15 07:18:24,2024-03-15 07:18:47,2024-03-15 07:19:54,On Time,Within tolerance — 1.1m arrival variance
R-101,R-101-T-004,S-05,5,0.7,2024-03-15 07:22:53,2024-03-15 07:24:20,2024-03-15 07:24:17,2024-03-15 07:25:44,On Time,Within tolerance — 1.4m arrival variance
R-101,R-101-T-004,S-06,6,1.2,2024-03-15 07:25:59,2024-03-15 07:26:52,2024-03-15 07:27:05,2024-03-15 07:27:58,On Time,Within tolerance — 0.9m arrival variance
R-101,R-101-T-004,S-07,7,4.2,2024-03-15 07:31:33,2024-03-15 07:31:33,2024-03-15 07:32:41,2024-03-15 07:32:41,Unrealistic Timetable,Schedule physically impossible — requires 82 km/h between S-07 and next stop (urban bus max ~50 km/h)
R-101,R-101-T-004,S-08,8,2.9,2024-03-15 07:35:46,2024-03-15 07:35:59,2024-03-15 07:36:54,2024-03-15 07:37:07,On Time,Within tolerance — 0.2m arrival variance
R-101,R-101-T-004,S-09,9,1.3,2024-03-15 07:47:12,2024-03-15 07:47:12,2024-03-15 07:48:15,2024-03-15 07:48:15,On Time,Within tolerance — 0.0m arrival variance
R-101,R-101-T-004,S-10,10,2.9,2024-03-15 07:52:20,2024-03-15 07:53:12,2024-03-15 07:53:46,2024-03-15 07:54:38,On Time,Within tolerance — 0.9m arrival variance
R-101,R-101-T-004,S-11,11,0.0,2024-03-15 08:01:44,2024-03-15 08:01:44,2024-03-15 08:04:34,2024-03-15 08:04:34,On Time,Within tolerance — 0.0m arrival variance
R-101,R-101-T-005,S-01,1,0.7,2024-03-15 06:59:00,2024-03-15 06:59:45,2024-03-15 07:02:27,2024-03-15 07:03:12,On Time,Within tolerance — 0.8m arrival variance
R-101,R-101-T-005,S-02,2,1.9,2024-03-15 07:04:50,2024-03-15 07:09:40,2024-03-15 07:06:14,2024-03-15 07:11:04,On Time,Within tolerance — 4.8m arrival variance
R-101,R-101-T-005,S-03,3,1.8,2024-03-15 07:12:53,2024-03-15 07:17:05,2024-03-15 07:13:38,2024-03-15 07:17:50,On Time,Within tolerance — 4.2m arrival variance
R-101,R-101-T-005,S-04,4,3.0,2024-03-15 07:19:56,2024-03-15 07:23:12,2024-03-15 07:21:17,2024-03-15 07:24:33,On Time,Within tolerance — 3.3m arrival variance
R-101,R-101-T-005,S-05,5,1.3,2024-03-15 07:31:13,2024-03-15 07:32:34,2024-03-15 07:32:28,2024-03-15 07:33:49,On Time,Within tolerance — 1.4m arrival variance
R-101,R-101-T-005,S-06,6,2.4,2024-03-15 07:37:01,2024-03-15 07:37:01,2024-03-15 07:38:04,2024-03-15 07:38:04,On Time,Within tolerance — 0.0m arrival variance
R-101,R-101-T-005,S-07,7,4.6,2024-03-15 07:46:27,2024-03-15 07:47:16,2024-03-15 07:47:00,2024-03-15 07:47:49,Unrealistic Timetable,Schedule assumes no traffic — requires 78 km/h from S-07; needs revision to allow for signals and stops
R-101,R-101-T-005,S-08,8,2.0,2024-03-15 07:50:32,2024-03-15 07:50:32,2024-03-15 07:51:53,2024-03-15 07:51:53,On Time,Within tolerance — 0.0m arrival variance
R-101,R-101-T-005,S-09,9,1.5,2024-03-15 07:58:26,2024-03-15 07:59:51,2024-03-15 07:59:14,2024-03-15 08:00:39,On Time,Within tolerance — 1.4m arrival variance
R-101,R-101-T-005,S-10,10,2.1,2024-03-15 08:05:12,2024-03-15 08:05:17,2024-03-15 08:06:42,2024-03-15 08:06:47,On Time,Within tolerance — 0.1m arrival variance
R-101,R-101-T-005,S-11,11,0.0,2024-03-15 08:14:37,2024-03-15 08:15:45,2024-03-15 08:17:49,2024-03-15 08:18:57,On Time,Within tolerance — 1.1m arrival variance
R-101,R-101-T-006,S-01,1,2.0,2024-03-15 07:19:00,2024-03-15 07:19:00,2024-03-15 07:22:55,2024-03-15 07:29:59,Vehicle Turnaround Delay,Depot dispatch delay on R-101 — 7m late departure from first stop
R-101,R-101-T-006,S-02,2,1.1,2024-03-15 07:28:53,2024-03-15 07:36:09,2024-03-15 07:29:55,2024-03-15 07:37:11,On Time,Within tolerance — 7.3m arrival variance
R-101,R-101-T-006,S-03,3,2.6,2024-03-15 07:33:51,2024-03-15 07:39:28,2024-03-15 07:35:07,2024-03-15 07:40:44,On Time,Within tolerance — 5.6m arrival variance
R-101,R-101-T-006,S-04,4,0.8,2024-03-15 07:43:53,2024-03-15 07:52:24,2024-03-15 07:44:51,2024-03-15 07:53:22,On Time,Within tolerance — 8.5m arrival variance
R-101,R-101-T-006,S-05,5,2.2,2024-03-15 07:46:48,2024-03-15 07:54:18,2024-03-15 07:47:59,2024-03-15 07:55:29,On Time,Within tolerance — 7.5m arrival variance
R-101,R-101-T-006,S-06,6,1.7,2024-03-15 07:53:19,2024-03-15 07:59:57,2024-03-15 07:54:11,2024-03-15 08:00:49,On Time,Within tolerance — 6.6m arrival variance
R-101,R-101-T-006,S-07,7,4.1,2024-03-15 07:59:44,2024-03-15 08:04:48,2024-03-15 08:01:03,2024-03-15 08:06:07,Unrealistic Timetable,Schedule physically impossible — requires 102 km/h between S-07 and next stop (urban bus max ~50 km/h)
R-101,R-101-T-006,S-08,8,0.7,2024-03-15 08:03:28,2024-03-15 08:08:21,2024-03-15 08:04:50,2024-03-15 08:09:43,On Time,Within tolerance — 4.9m arrival variance
R-101,R-101-T-006,S-09,9,2.8,2024-03-15 08:07:07,2024-03-15 08:11:58,2024-03-15 08:08:09,2024-03-15 08:13:00,On Time,Within tolerance — 4.8m arrival variance
R-101,R-101-T-006,S-10,10,1.7,2024-03-15 08:15:18,2024-03-15 08:21:50,2024-03-15 08:16:16,2024-03-15 08:22:48,On Time,Within tolerance — 6.5m arrival variance
R-101,R-101-T-006,S-11,11,0.0,2024-03-15 08:22:48,2024-03-15 08:28:58,2024-03-15 08:25:25,2024-03-15 08:31:35,On Time,Within tolerance — 6.2m arrival variance
R-101,R-101-T-007,S-01,1,2.5,2024-03-15 07:39:00,2024-03-15 07:39:00,2024-03-15 07:42:17,2024-03-15 07:48:16,Vehicle Turnaround Delay,Depot dispatch delay on R-101 — 6m late departure from first stop
R-101,R-101-T-007,S-02,2,2.3,2024-03-15 07:50:43,2024-03-15 07:58:10,2024-03-15 07:51:21,2024-03-15 07:58:48,On Time,Within tolerance — 7.5m arrival variance
R-101,R-101-T-007,S-03,3,2.4,2024-03-15 07:59:18,2024-03-15 08:04:48,2024-03-15 08:00:33,2024-03-15 08:06:03,On Time,Within tolerance — 5.5m arrival variance
R-101,R-101-T-007,S-04,4,2.5,2024-03-15 08:08:10,2024-03-15 08:13:19,2024-03-15 08:09:21,2024-03-15 08:14:30,On Time,Within tolerance — 5.2m arrival variance
R-101,R-101-T-007,S-05,5,1.6,2024-03-15 08:16:37,2024-03-15 08:20:42,2024-03-15 08:17:49,2024-03-15 08:21:54,On Time,Within tolerance — 4.1m arrival variance
R-101,R-101-T-007,S-06,6,0.5,2024-03-15 08:23:14,2024-03-15 08:28:32,2024-03-15 08:24:31,2024-03-15 08:29:49,On Time,Within tolerance — 5.3m arrival variance
R-101,R-101-T-007,S-07,7,5.7,2024-03-15 08:26:05,2024-03-15 08:32:15,2024-03-15 08:27:28,2024-03-15 08:33:38,Unrealistic Timetable,Schedule assumes no traffic — requires 77 km/h from S-07; needs revision to allow for signals and stops
R-101,R-101-T-007,S-08,8,0.8,2024-03-15 08:31:53,2024-03-15 08:36:26,2024-03-15 08:32:25,2024-03-15 08:42:10,Excessive Stop Dwell Time,Boarding surge — dwell exceeded schedule by 5m at S-08 (likely high-volume stop or accessibility ramp)
R-101,R-101-T-007,S-09,9,2.9,2024-03-15 08:35:17,2024-03-15 08:44:00,2024-03-15 08:36:24,2024-03-15 08:45:07,On Time,Within tolerance — 8.7m arrival variance
R-101,R-101-T-007,S-10,10,2.8,2024-03-15 08:47:33,2024-03-15 08:55:45,2024-03-15 08:48:54,2024-03-15 08:57:06,On Time,Within tolerance — 8.2m arrival variance
R-101,R-101-T-007,S-11,11,0.0,2024-03-15 08:59:24,2024-03-15 09:03:19,2024-03-15 09:03:17,2024-03-15 09:07:12,On Time,Within tolerance — 3.9m arrival variance
R-101,R-101-T-008,S-01,1,0.6,2024-03-15 07:54:00,2024-03-15 07:54:00,2024-03-15 07:56:20,2024-03-15 08:01:26,Vehicle Turnaround Delay,Depot dispatch delay on R-101 — 5m late departure from first stop
R-101,R-101-T-008,S-02,2,1.4,2024-03-15 07:58:17,2024-03-15 08:01:26,2024-03-15 07:58:50,2024-03-15 08:01:59,On Time,Within tolerance — 3.1m arrival variance
R-101,R-101-T-008,S-03,3,2.6,2024-03-15 08:03:13,2024-03-15 08:06:15,2024-03-15 08:03:49,2024-03-15 08:06:51,On Time,Within tolerance — 3.0m arrival variance
R-101,R-101-T-008,S-04,4,1.9,2024-03-15 08:14:07,2024-03-15 08:17:58,2024-03-15 08:14:40,2024-03-15 08:18:31,On Time,Within tolerance — 3.9m arrival variance
R-101,R-101-T-008,S-05,5,0.9,2024-03-15 08:19:55,2024-03-15 08:22:30,2024-03-15 08:20:37,2024-03-15 08:23:12,On Time,Within tolerance — 2.6m arrival variance
R-101,R-101-T-008,S-06,6,1.0,2024-03-15 08:23:00,2024-03-15 08:23:46,2024-03-15 08:24:19,2024-03-15 08:25:05,On Time,Within tolerance — 0.8m arrival variance
R-101,R-101-T-008,S-07,7,4.8,2024-03-15 08:27:35,2024-03-15 08:33:04,2024-03-15 08:28:25,2024-03-15 08:33:54,Unrealistic Timetable,Schedule physically impossible — requires 87 km/h between S-07 and next stop (urban bus max ~50 km/h)
R-101,R-101-T-008,S-08,8,1.6,2024-03-15 08:31:43,2024-03-15 08:36:32,2024-03-15 08:32:16,2024-03-15 08:37:05,On Time,Within tolerance — 4.8m arrival variance
R-101,R-101-T-008,S-09,9,0.6,2024-03-15 08:36:45,2024-03-15 08:39:38,2024-03-15 08:37:35,2024-03-15 08:40:28,On Time,Within tolerance — 2.9m arrival variance
R-101,R-101-T-008,S-10,10,3.0,2024-03-15 08:39:13,2024-03-15 08:40:41,2024-03-15 08:40:31,2024-03-15 08:41:59,On Time,Within tolerance — 1.5m arrival variance
R-101,R-101-T-008,S-11,11,0.0,2024-03-15 08:51:40,2024-03-15 08:56:33,2024-03-15 08:54:51,2024-03-15 08:59:44,On Time,Within tolerance — 4.9m arrival variance
R-101,R-101-T-009,S-01,1,0.6,2024-03-15 08:11:00,2024-03-15 08:11:00,2024-03-15 08:13:34,2024-03-15 08:13:34,On Time,Within tolerance — 0.0m arrival variance
R-101,R-101-T-009,S-02,2,1.8,2024-03-15 08:15:39,2024-03-15 08:16:32,2024-03-15 08:16:28,2024-03-15 08:17:21,On Time,Within tolerance — 0.9m arrival variance
R-101,R-101-T-009,S-03,3,0.7,2024-03-15 08:21:24,2024-03-15 08:24:55,2024-03-15 08:22:19,2024-03-15 08:25:50,On Time,Within tolerance — 3.5m arrival variance
R-101,R-101-T-009,S-04,4,2.3,2024-03-15 08:24:44,2024-03-15 08:29:29,2024-03-15 08:25:53,2024-03-15 08:34:23,Excessive Stop Dwell Time,Minor hold at S-04 — dwell over by 4m (possible fare dispute or door fault)
R-101,R-101-T-009,S-05,5,2.7,2024-03-15 08:34:16,2024-03-15 08:41:52,2024-03-15 08:35:13,2024-03-15 08:48:16,Excessive Stop Dwell Time,Boarding surge — dwell exceeded schedule by 5m at S-05 (likely high-volume stop or accessibility ramp)
R-101,R-101-T-009,S-06,6,2.6,2024-03-15 08:45:51,2024-03-15 08:57:26,2024-03-15 08:46:44,2024-03-15 08:58:19,Route Congestion Pattern,"Localised bottleneck near S-06 on R-101 — isolated arrival delay of 12m, dwell normal"
R-101,R-101-T-009,S-07,7,4.7,2024-03-15 08:53:37,2024-03-15 09:02:45,2024-03-15 08:54:15,2024-03-15 09:03:23,Unrealistic Timetable,Schedule physically impossible — requires 88 km/h between S-07 and next stop (urban bus max ~50 km/h)
R-101,R-101-T-009,S-08,8,0.9,2024-03-15 08:57:27,2024-03-15 09:06:02,2024-03-15 08:58:47,2024-03-15 09:07:22,On Time,Within tolerance — 8.6m arrival variance
R-101,R-101-T-009,S-09,9,1.6,2024-03-15 09:01:09,2024-03-15 09:16:04,2024-03-15 09:02:12,2024-03-15 09:17:07,Route Congestion Pattern,"Localised bottleneck near S-09 on R-101 — isolated arrival delay of 15m, dwell normal"
R-101,R-101-T-009,S-10,10,2.9,2024-03-15 09:06:57,2024-03-15 09:19:40,2024-03-15 09:08:18,2024-03-15 09:21:01,Route Congestion Pattern,"Localised bottleneck near S-10 on R-101 — isolated arrival delay of 13m, dwell normal"
R-101,R-101-T-009,S-11,11,0.0,2024-03-15 09:19:30,2024-03-15 09:32:34,2024-03-15 09:21:59,2024-03-15 09:35:03,Route Congestion Pattern,Sustained corridor congestion on R-101 — 3 consecutive stops showing 10m+ delays including S-11
R-101,R-101-T-010,S-01,1,2.3,2024-03-15 08:24:00,2024-03-15 08:24:00,2024-03-15 08:27:54,2024-03-15 08:27:54,On Time,Within tolerance — 0.0m arrival variance
R-102,R-102-T-001,S-01,1,0.8,2024-03-15 06:15:00,2024-03-15 06:15:07,2024-03-15 06:17:05,2024-03-15 06:17:12,On Time,Within tolerance — 0.1m arrival variance
R-102,R-102-T-001,S-02,2,1.5,2024-03-15 06:19:31,2024-03-15 06:19:31,2024-03-15 06:20:04,2024-03-15 06:20:04,On Time,Within tolerance — 0.0m arrival variance
R-102,R-102-T-001,S-03,3,1.9,2024-03-15 06:24:46,2024-03-15 06:26:07,2024-03-15 06:25:36,2024-03-15 06:26:57,On Time,Within tolerance — 1.4m arrival variance
R-102,R-102-T-001,S-04,4,1.7,2024-03-15 06:31:07,2024-03-15 06:31:55,2024-03-15 06:32:08,2024-03-15 06:32:56,On Time,Within tolerance — 0.8m arrival variance
R-102,R-102-T-001,S-05,5,1.7,2024-03-15 06:37:35,2024-03-15 06:37:35,2024-03-15 06:38:32,2024-03-15 06:38:32,On Time,Within tolerance — 0.0m arrival variance
R-102,R-102-T-001,S-06,6,1.6,2024-03-15 06:45:02,2024-03-15 06:45:02,2024-03-15 06:46:16,2024-03-15 06:46:16,On Time,Within tolerance — 0.0m arrival variance
R-102,R-102-T-001,S-07,7,0.7,2024-03-15 06:50:48,2024-03-15 06:51:10,2024-03-15 06:51:33,2024-03-15 06:51:55,On Time,Within tolerance — 0.4m arrival variance
R-102,R-102-T-001,S-08,8,1.9,2024-03-15 06:53:41,2024-03-15 06:53:41,2024-03-15 06:54:35,2024-03-15 06:54:35,On Time,Within tolerance — 0.0m arrival variance
R-102,R-102-T-001,S-09,9,5.6,2024-03-15 07:00:24,2024-03-15 07:00:24,2024-03-15 07:01:53,2024-03-15 07:01:53,Unrealistic Timetable,Schedule physically impossible — requires 118 km/h between S-09 and next stop (urban bus max ~50 km/h)
R-102,R-102-T-001,S-10,10,0.0,2024-03-15 07:04:44,2024-03-15 07:04:44,2024-03-15 07:08:34,2024-03-15 07:12:24,Excessive Stop Dwell Time,Minor hold at S-10 — dwell over by 4m (possible fare dispute or door fault)
R-102,R-102-T-002,S-01,1,3.0,2024-03-15 06:25:00,2024-03-15 06:25:17,2024-03-15 06:28:17,2024-03-15 06:33:12,Excessive Stop Dwell Time,Minor hold at S-01 — dwell over by 5m (possible fare dispute or door fault)
R-102,R-102-T-002,S-02,2,1.8,2024-03-15 06:36:41,2024-03-15 06:43:31,2024-03-15 06:37:37,2024-03-15 06:44:27,On Time,Within tolerance — 6.8m arrival variance
R-102,R-102-T-002,S-03,3,2.8,2024-03-15 06:43:24,2024-03-15 06:50:40,2024-03-15 06:44:41,2024-03-15 06:51:57,On Time,Within tolerance — 7.3m arrival variance
R-102,R-102-T-002,S-04,4,2.6,2024-03-15 06:54:27,2024-03-15 06:57:27,2024-03-15 06:55:39,2024-03-15 06:58:39,On Time,Within tolerance — 3.0m arrival variance
R-102,R-102-T-002,S-05,5,2.5,2024-03-15 07:02:53,2024-03-15 07:08:05,2024-03-15 07:04:04,2024-03-15 07:09:16,On Time,Within tolerance — 5.2m arrival variance
R-102,R-102-T-002,S-06,6,1.5,2024-03-15 07:11:48,2024-03-15 07:14:47,2024-03-15 07:12:29,2024-03-15 07:15:28,On Time,Within tolerance — 3.0m arrival variance
R-102,R-102-T-002,S-07,7,1.8,2024-03-15 07:17:08,2024-03-15 07:21:46,2024-03-15 07:18:30,2024-03-15 07:23:08,On Time,Within tolerance — 4.6m arrival variance
R-102,R-102-T-002,S-08,8,1.0,2024-03-15 07:24:38,2024-03-15 07:27:58,2024-03-15 07:25:28,2024-03-15 07:28:48,On Time,Within tolerance — 3.3m arrival variance
R-102,R-102-T-002,S-09,9,5.2,2024-03-15 07:28:26,2024-03-15 07:31:34,2024-03-15 07:29:45,2024-03-15 07:32:53,Unrealistic Timetable,Schedule assumes no traffic — requires 73 km/h from S-09; needs revision to allow for signals and stops
R-102,R-102-T-002,S-10,10,0.0,2024-03-15 07:34:01,2024-03-15 07:34:01,2024-03-15 07:38:01,2024-03-15 07:38:01,On Time,Within tolerance — 0.0m arrival variance
R-102,R-102-T-003,S-01,1,0.7,2024-03-15 06:42:00,2024-03-15 06:42:00,2024-03-15 06:46:00,2024-03-15 06:46:00,On Time,Within tolerance — 0.0m arrival variance
R-102,R-102-T-003,S-02,2,1.6,2024-03-15 06:48:20,2024-03-15 06:49:35,2024-03-15 06:49:29,2024-03-15 06:50:44,On Time,Within tolerance — 1.2m arrival variance
R-102,R-102-T-003,S-03,3,1.4,2024-03-15 06:55:37,2024-03-15 06:56:03,2024-03-15 06:56:48,2024-03-15 07:02:59,Excessive Stop Dwell Time,Boarding surge — dwell exceeded schedule by 6m at S-03 (likely high-volume stop or accessibility ramp)
R-102,R-102-T-003,S-04,4,1.2,2024-03-15 07:01:18,2024-03-15 07:06:28,2024-03-15 07:02:08,2024-03-15 07:07:18,On Time,Within tolerance — 5.2m arrival variance
R-102,R-102-T-003,S-05,5,1.8,2024-03-15 07:06:28,2024-03-15 07:08:49,2024-03-15 07:07:26,2024-03-15 07:09:47,On Time,Within tolerance — 2.4m arrival variance
R-102,R-102-T-003,S-06,6,1.1,2024-03-15 07:13:02,2024-03-15 07:14:07,2024-03-15 07:13:55,2024-03-15 07:15:00,On Time,Within tolerance — 1.1m arrival variance
